epoch,DE,E,I,loss,mse_odd_even_sol,val_DE,val_E,val_I,val_loss,val_mse_odd_even_sol
121,64.07022094726562,"""[40.261425]""","""[0.10196429]""",360.1129455566406,0.4962806701660156,NA,NA,NA,NA,NA
122,65.74944305419922,"""[39.86803]""","""[0.10285827]""",47.439369201660156,0.4987793266773224,NA,NA,NA,NA,NA
123,67.5281753540039,"""[39.43757]""","""[0.10376466]""",360.7790832519531,0.5017068386077881,NA,NA,NA,NA,NA
124,68.0351791381836,"""[39.367165]""","""[0.104601964]""",40.222862243652344,0.5008808970451355,NA,NA,NA,NA,NA
125,68.5244140625,"""[39.295902]""","""[0.10537166]""",40.55453872680664,0.5002087354660034,NA,NA,NA,NA,NA
126,68.93273162841797,"""[39.242195]""","""[0.106073804]""",597.7546997070312,0.4994836747646332,NA,NA,NA,NA,NA
127,67.67072296142578,"""[39.65894]""","""[0.10684573]""",40.45800018310547,0.49340683221817017,NA,NA,NA,NA,NA
128,66.56195068359375,"""[40.009853]""","""[0.10762266]""",106.55784606933594,0.48800837993621826,NA,NA,NA,NA,NA
129,65.00508117675781,"""[40.451153]""","""[0.10839527]""",66.77446746826172,0.48155033588409424,NA,NA,NA,NA,NA
130,64.02523803710938,"""[40.730534]""","""[0.10923774]""",58.442596435546875,0.47673356533050537,NA,NA,NA,NA,NA
131,63.43489074707031,"""[40.9059]""","""[0.11007456]""",48.41756057739258,0.47308528423309326,NA,NA,NA,NA,NA
132,63.09727478027344,"""[41.015694]""","""[0.11086423]""",50.18324661254883,0.47027093172073364,NA,NA,NA,NA,NA
133,62.6213264465332,"""[41.14891]""","""[0.11160285]""",44.41290283203125,0.46726977825164795,NA,NA,NA,NA,NA
134,62.115901947021484,"""[41.281303]""","""[0.11228916]""",71.66616821289062,0.46436408162117004,NA,NA,NA,NA,NA
135,62.027366638183594,"""[41.322334]""","""[0.1129517]""",165.8885498046875,0.4625818133354187,NA,NA,NA,NA,NA
136,62.718605041503906,"""[41.20191]""","""[0.113644645]""",42.33882522583008,0.46267592906951904,NA,NA,NA,NA,NA
137,63.408119201660156,"""[41.08006]""","""[0.11429851]""",43.968502044677734,0.46287429332733154,NA,NA,NA,NA,NA
138,64.16014862060547,"""[40.943302]""","""[0.11491346]""",60.233333587646484,0.46333667635917664,NA,NA,NA,NA,NA
139,64.56446075439453,"""[40.878105]""","""[0.1154781]""",47.60746765136719,0.46304813027381897,NA,NA,NA,NA,NA
140,65.12494659423828,"""[40.77876]""","""[0.11602567]""",56.43980407714844,0.4632086157798767,NA,NA,NA,NA,NA
141,65.36409759521484,"""[40.746136]""","""[0.11652302]""",41.56153869628906,0.4626697301864624,NA,NA,NA,NA,NA
142,65.57756042480469,"""[40.717667]""","""[0.11698292]""",81.00531768798828,0.4621552526950836,NA,NA,NA,NA,NA
143,66.29414367675781,"""[40.582214]""","""[0.11747711]""",44.75000762939453,0.46287083625793457,NA,NA,NA,NA,NA
144,66.82986450195312,"""[40.483852]""","""[0.11792825]""",125.33796691894531,0.4632267355918884,NA,NA,NA,NA,NA
145,66.63719940185547,"""[40.53992]""","""[0.11830862]""",41.32709884643555,0.46185237169265747,NA,NA,NA,NA,NA
146,66.46651458740234,"""[40.58949]""","""[0.11866436]""",53.389190673828125,0.46059954166412354,NA,NA,NA,NA,NA
147,66.06112670898438,"""[40.686142]""","""[0.11897822]""",88.1761474609375,0.45884811878204346,NA,NA,NA,NA,NA
148,66.1811752319336,"""[40.672684]""","""[0.11931958]""",64.01317596435547,0.4583856463432312,NA,NA,NA,NA,NA
149,65.94987487792969,"""[40.730686]""","""[0.11963095]""",41.654361724853516,0.45710429549217224,NA,NA,NA,NA,NA
150,65.78207397460938,"""[40.774414]""","""[0.119927675]""",174.27923583984375,0.45602262020111084,NA,NA,NA,NA,NA
151,66.4801254272461,"""[40.642452]""","""[0.120317]""",111.46955871582031,0.4569303095340729,NA,NA,NA,NA,NA
152,67.80018615722656,"""[40.380547]""","""[0.12074553]""",144.59938049316406,0.4593662619590759,NA,NA,NA,NA,NA
153,68.23672485351562,"""[40.300873]""","""[0.121077046]""",75.05612182617188,0.4597497284412384,NA,NA,NA,NA,NA
154,69.14069366455078,"""[40.121876]""","""[0.12146274]""",79.3558349609375,0.46125733852386475,NA,NA,NA,NA,NA
155,70.48486328125,"""[39.84491]""","""[0.12185463]""",42.81254959106445,0.46396052837371826,NA,NA,NA,NA,NA
156,71.62808227539062,"""[39.608067]""","""[0.12225157]""",253.00148010253906,0.4661710858345032,NA,NA,NA,NA,NA
157,71.37566375732422,"""[39.679893]""","""[0.12252892]""",84.86611938476562,0.4648156762123108,NA,NA,NA,NA,NA
158,70.59625244140625,"""[39.866184]""","""[0.12283238]""",43.21373748779297,0.4620020389556885,NA,NA,NA,NA,NA
159,69.78893280029297,"""[40.053326]""","""[0.12312438]""",202.9134979248047,0.4591858983039856,NA,NA,NA,NA,NA
160,68.09375,"""[40.419872]""","""[0.123517975]""",42.10769271850586,0.45394039154052734,NA,NA,NA,NA,NA
161,66.5691146850586,"""[40.737286]""","""[0.12397423]""",55.704959869384766,0.44914698600769043,NA,NA,NA,NA,NA
162,65.57227325439453,"""[40.94154]""","""[0.124477215]""",45.41713333129883,0.4456552565097809,NA,NA,NA,NA,NA
163,64.85513305664062,"""[41.086792]""","""[0.12500453]""",109.92201232910156,0.4428439438343048,NA,NA,NA,NA,NA
164,64.79685974121094,"""[41.108067]""","""[0.1255459]""",45.43083572387695,0.44158923625946045,NA,NA,NA,NA,NA
165,64.61599731445312,"""[41.150173]""","""[0.12605052]""",42.22932052612305,0.4401310384273529,NA,NA,NA,NA,NA
166,64.5040512084961,"""[41.178566]""","""[0.12652308]""",53.491886138916016,0.43890735507011414,NA,NA,NA,NA,NA
167,64.64129638671875,"""[41.161827]""","""[0.12697487]""",199.68197631835938,0.4383104741573334,NA,NA,NA,NA,NA
168,63.76707077026367,"""[41.321655]""","""[0.12734841]""",153.27651977539062,0.4355373680591583,NA,NA,NA,NA,NA
169,63.82994079589844,"""[41.316998]""","""[0.12778749]""",44.107337951660156,0.43480435013771057,NA,NA,NA,NA,NA
170,63.79031753540039,"""[41.329433]""","""[0.12818362]""",54.84434509277344,0.4339243173599243,NA,NA,NA,NA,NA
171,64.00743865966797,"""[41.297497]""","""[0.12859172]""",67.86973571777344,0.4336126744747162,NA,NA,NA,NA,NA
172,63.820106506347656,"""[41.333984]""","""[0.12895225]""",72.15768432617188,0.4324771463871002,NA,NA,NA,NA,NA
173,64.06535339355469,"""[41.296963]""","""[0.12930946]""",45.38743209838867,0.43233028054237366,NA,NA,NA,NA,NA
174,64.43653106689453,"""[41.238308]""","""[0.12966955]""",48.2628059387207,0.4324692487716675,NA,NA,NA,NA,NA
175,64.95823669433594,"""[41.15351]""","""[0.13004838]""",146.88262939453125,0.4329247772693634,NA,NA,NA,NA,NA
176,66.25907897949219,"""[40.932636]""","""[0.13054131]""",266.743896484375,0.4349842965602875,NA,NA,NA,NA,NA
177,68.78469848632812,"""[40.48741]""","""[0.13120905]""",78.2960205078125,0.4396844804286957,NA,NA,NA,NA,NA
178,71.84398651123047,"""[39.927757]""","""[0.13206129]""",192.28656005859375,0.44555312395095825,NA,NA,NA,NA,NA
179,73.70963287353516,"""[39.58785]""","""[0.13293177]""",55.35356903076172,0.4485511779785156,NA,NA,NA,NA,NA
180,75.83777618408203,"""[39.18995]""","""[0.13385923]""",40.29798126220703,0.4522465467453003,NA,NA,NA,NA,NA
181,77.89578247070312,"""[38.799213]""","""[0.13478714]""",67.29304504394531,0.4558921754360199,NA,NA,NA,NA,NA
182,80.33724975585938,"""[38.319637]""","""[0.1357819]""",40.440765380859375,0.4606483578681946,NA,NA,NA,NA,NA
183,82.50279235839844,"""[37.89042]""","""[0.13678192]""",159.48814392089844,0.4647998809814453,NA,NA,NA,NA,NA
184,83.42707824707031,"""[37.736988]""","""[0.1377889]""",60.175048828125,0.46535560488700867,NA,NA,NA,NA,NA
185,83.8310775756836,"""[37.697815]""","""[0.13871928]""",372.5536193847656,0.46453145146369934,NA,NA,NA,NA,NA
186,82.39805603027344,"""[38.059322]""","""[0.13955942]""",91.92727661132812,0.4584968090057373,NA,NA,NA,NA,NA
187,80.38597869873047,"""[38.52152]""","""[0.14039087]""",177.96511840820312,0.4510824680328369,NA,NA,NA,NA,NA
